pca_x,pca_y,cluster,segment_label,company,order_value
2.7835,-0.8583,0,Loyal Customers,Swiggy Instamart,50.0
1.4362,-0.2124,0,Loyal Customers,Swiggy Instamart,577.4725
0.6751,-1.3859,0,Loyal Customers,Blinkit,102.3192
0.9166,-0.6537,0,Loyal Customers,Swiggy Instamart,468.694
-1.7696,-0.9472,1,At-Risk,Zepto,670.0365
-0.5089,-1.6116,1,At-Risk,Zepto,106.8325
-2.3683,1.9079,2,Price-Sensitive,Zepto,1544.1637500000002
1.5442,-0.0744,0,Loyal Customers,Swiggy Instamart,670.067
0.0663,-1.0214,0,Loyal Customers,Blinkit,386.7372
0.0257,-0.5333,1,At-Risk,Swiggy Instamart,649.7925
-0.7694,1.3557,2,Price-Sensitive,Zepto,910.87275
0.507,0.968,3,Price-Sensitive,Swiggy Instamart,569.06025
-1.5258,-1.7185,1,At-Risk,Blinkit,266.5008
-1.482,0.0933,2,Price-Sensitive,Blinkit,428.4108000000001
-1.4453,-0.2738,2,Price-Sensitive,Zepto,242.94375
-0.5226,2.5175,2,Price-Sensitive,Blinkit,1618.9932
-0.8375,-1.1962,1,At-Risk,Zepto,391.561
0.3838,1.5359,3,Price-Sensitive,Zepto,824.2447500000001
0.0683,0.985,3,Price-Sensitive,Swiggy Instamart,631.0912500000001
-0.2388,1.2287,2,Price-Sensitive,Swiggy Instamart,821.0962499999998
-0.4897,-0.7888,1,At-Risk,Zepto,576.067
0.1317,0.184,2,Price-Sensitive,Swiggy Instamart,207.765
1.0244,0.4367,3,Price-Sensitive,Blinkit,173.9718
-1.1511,-1.1825,1,At-Risk,Zepto,441.74050000000005
-1.0062,-0.0911,1,At-Risk,Blinkit,1062.2352
-0.7421,-0.8762,1,At-Risk,Swiggy Instamart,607.8555
1.2018,0.0236,0,Loyal Customers,Swiggy Instamart,789.5324999999999
-0.6278,1.2712,2,Price-Sensitive,Zepto,897.4597499999999
-0.2662,0.9023,2,Price-Sensitive,Swiggy Instamart,674.5094999999999
-1.4183,-0.9661,1,At-Risk,Zepto,611.9820000000001
-0.1787,-0.1485,1,At-Risk,Swiggy Instamart,889.2604999999999
1.0682,0.3044,3,Price-Sensitive,Blinkit,108.85980000000002
-1.212,0.389,2,Price-Sensitive,Zepto,513.6569999999999
-0.6058,-0.9615,1,At-Risk,Blinkit,536.2956
-0.1422,1.4522,3,Price-Sensitive,Swiggy Instamart,955.3222499999996
1.9769,-0.8237,0,Loyal Customers,Blinkit,132.5268
0.3705,0.3439,0,Loyal Customers,Blinkit,1042.74
0.4225,-0.8833,0,Loyal Customers,Zepto,335.706
-1.4577,-0.932,1,At-Risk,Zepto,660.63
1.614,-0.4506,0,Loyal Customers,Blinkit,424.9352
-1.7679,1.9062,2,Price-Sensitive,Zepto,1475.40525
-1.8514,-1.5143,1,At-Risk,Swiggy Instamart,373.247
1.7193,2.1762,3,Price-Sensitive,Blinkit,1087.4232000000002
-1.167,-1.359,1,At-Risk,Blinkit,448.956
-0.1021,-1.1077,1,At-Risk,Blinkit,330.3396
0.8909,1.5846,3,Price-Sensitive,Blinkit,814.5714000000002
-0.0747,-1.041,1,At-Risk,Swiggy Instamart,407.6175
-2.1002,-0.4837,2,Price-Sensitive,Zepto,201.39525000000003
0.5469,0.445,0,Loyal Customers,Blinkit,1063.1736
0.6473,-0.2926,0,Loyal Customers,Blinkit,715.7252000000001
0.9598,-0.665,0,Loyal Customers,Zepto,357.0185
0.4301,-1.5269,1,At-Risk,Swiggy Instamart,50.0
-1.1407,-1.4401,1,At-Risk,Blinkit,312.5196
-0.7964,-0.5144,1,At-Risk,Swiggy Instamart,762.8095
-0.3252,-1.1972,1,At-Risk,Blinkit,414.9872
-0.7276,-0.7874,1,At-Risk,Blinkit,690.9732
0.2238,-0.2347,0,Loyal Customers,Zepto,813.0090000000001
0.3458,1.5941,3,Price-Sensitive,Swiggy Instamart,892.1009999999999
0.3721,1.6302,3,Price-Sensitive,Zepto,969.39
-0.2714,1.2617,2,Price-Sensitive,Swiggy Instamart,864.3629999999999
-0.5844,-0.5858,1,At-Risk,Swiggy Instamart,728.5264999999999
-0.1675,-0.099,1,At-Risk,Swiggy Instamart,880.6814999999999
1.2113,0.3727,0,Loyal Customers,Swiggy Instamart,990.2535
2.2301,0.3895,0,Loyal Customers,Swiggy Instamart,775.3644999999999
-0.0787,-1.4798,1,At-Risk,Zepto,109.6305
1.6122,0.8018,0,Loyal Customers,Blinkit,1092.5076
1.2222,1.1967,3,Price-Sensitive,Blinkit,615.1284
1.846,-0.1961,0,Loyal Customers,Zepto,526.3065
2.5595,-0.0267,0,Loyal Customers,Zepto,587.3115
-1.8001,-2.0109,1,At-Risk,Zepto,114.5655
-1.102,-0.9061,1,At-Risk,Blinkit,635.1264000000001
0.8249,0.0306,0,Loyal Customers,Swiggy Instamart,862.4795
0.1807,2.608,3,Price-Sensitive,Swiggy Instamart,1527.4665
-0.5786,1.6843,2,Price-Sensitive,Swiggy Instamart,1112.5252499999997
0.5178,0.3592,3,Price-Sensitive,Swiggy Instamart,230.391
-0.8729,-1.0945,1,At-Risk,Blinkit,468.70920000000007
-2.1749,-0.9123,1,At-Risk,Zepto,810.4635000000001
-0.0303,-0.1378,1,At-Risk,Blinkit,929.1984
0.1607,0.4248,3,Price-Sensitive,Zepto,328.04100000000005
-1.178,-0.9384,1,At-Risk,Zepto,595.2345
0.893,-1.4891,0,Loyal Customers,Swiggy Instamart,50.0
-0.7155,-0.8861,1,At-Risk,Swiggy Instamart,553.4405
0.8654,-0.7569,0,Loyal Customers,Swiggy Instamart,447.7145
2.8223,1.0327,3,Price-Sensitive,Swiggy Instamart,258.39149999999995
1.0172,-0.6598,0,Loyal Customers,Blinkit,383.022
1.4802,-1.0875,0,Loyal Customers,Swiggy Instamart,133.39999999999998
-0.4563,-0.1738,1,At-Risk,Blinkit,941.0816
-0.8871,-1.0865,1,At-Risk,Zepto,471.135
0.6013,-1.1941,0,Loyal Customers,Swiggy Instamart,192.7555
1.5839,-0.7813,0,Loyal Customers,Swiggy Instamart,270.5414999999999
0.9275,-0.4306,0,Loyal Customers,Zepto,499.6215
1.5881,-0.8555,0,Loyal Customers,Zepto,225.42900000000003
2.6191,0.338,0,Loyal Customers,Swiggy Instamart,714.016
-2.3649,1.1098,2,Price-Sensitive,Zepto,1074.57525
0.9969,0.4133,3,Price-Sensitive,Swiggy Instamart,178.83674999999997
1.0933,-1.4012,0,Loyal Customers,Swiggy Instamart,50.0
-0.4321,-1.4233,1,At-Risk,Blinkit,238.9284
-0.4136,0.9634,2,Price-Sensitive,Zepto,624.5272500000001
1.2004,-1.2511,0,Loyal Customers,Blinkit,124.31760000000004
-1.2237,-1.1347,1,At-Risk,Swiggy Instamart,573.689
-0.7822,-1.2245,1,At-Risk,Blinkit,379.08
0.076,-0.1928,1,At-Risk,Blinkit,841.1904000000001
