"product_category","company","basket_size_bucket","orders","pct","avg_order_value"
"Household","Blinkit","Bulk (10+ items)",8160,45.55,610.66
"Household","Swiggy Instamart","Small (1-2 items)",1752,9.79,646.78
"Household","Swiggy Instamart","Medium (3-5 items)",2711,15.15,652.85
"Household","Swiggy Instamart","Large (6-10 items)",5204,29.08,650.46
"Household","Swiggy Instamart","Bulk (10+ items)",8226,45.97,643.82
"Household","Zepto","Small (1-2 items)",1792,10.11,588.37
"Household","Zepto","Medium (3-5 items)",2735,15.44,602.72
"Household","Zepto","Large (6-10 items)",5131,28.96,593.32
"Household","Zepto","Bulk (10+ items)",8059,45.49,607.44
"Personal Care","Blinkit","Small (1-2 items)",1814,10.15,599.13
"Personal Care","Blinkit","Medium (3-5 items)",2653,14.85,620.30
"Personal Care","Blinkit","Large (6-10 items)",5250,29.39,604.16
"Personal Care","Blinkit","Bulk (10+ items)",8148,45.61,605.03
"Personal Care","Swiggy Instamart","Small (1-2 items)",1750,9.93,658.47
"Personal Care","Swiggy Instamart","Medium (3-5 items)",2647,15.02,649.80
"Personal Care","Swiggy Instamart","Large (6-10 items)",5131,29.11,653.98
"Personal Care","Swiggy Instamart","Bulk (10+ items)",8098,45.94,641.51
"Personal Care","Zepto","Small (1-2 items)",1840,10.21,585.33
"Personal Care","Zepto","Medium (3-5 items)",2792,15.50,597.80
"Personal Care","Zepto","Large (6-10 items)",5134,28.50,595.14
"Personal Care","Zepto","Bulk (10+ items)",8247,45.78,591.11
"Snacks","Blinkit","Small (1-2 items)",1759,9.80,610.45
"Snacks","Blinkit","Medium (3-5 items)",2638,14.70,608.68
"Snacks","Blinkit","Large (6-10 items)",5268,29.36,613.80
"Snacks","Blinkit","Bulk (10+ items)",8280,46.14,609.41
"Snacks","Swiggy Instamart","Small (1-2 items)",1822,10.21,624.73
"Snacks","Swiggy Instamart","Medium (3-5 items)",2758,15.45,645.88
"Snacks","Swiggy Instamart","Large (6-10 items)",5290,29.64,638.68
"Snacks","Swiggy Instamart","Bulk (10+ items)",7979,44.70,643.56
"Snacks","Zepto","Small (1-2 items)",1865,10.39,607.21
"Snacks","Zepto","Medium (3-5 items)",2719,15.15,585.68
"Snacks","Zepto","Large (6-10 items)",5262,29.33,592.22
"Snacks","Zepto","Bulk (10+ items)",8096,45.12,596.19
