city,Blinkit,Swiggy Instamart,Zepto,total_stores,district_key,urban_population,households,literacy_rate,service_workers,avg_household_size,opportunity_score,blinkit_opp_score,swiggy_instamart_opp_score,zepto_opp_score
Visakhapatnam,2.0,3.0,0.0,5.0,VISAKHAPATNAM,2035922.0,517625.0,73.48,573989.0,3.93,63392,126784,95088,380351
Kolhapur,3.0,2.0,0.0,5.0,KOLHAPUR,1230009.0,271721.0,79.02,363664.0,4.53,35786,53678,71571,214714
Jodhpur,4.0,1.0,0.0,5.0,JODHPUR,1264614.0,234790.0,69.05,331632.0,5.39,27020,32424,81061,162122
Ajmer,3.0,2.0,0.0,5.0,AJMER,1035410.0,201088.0,73.56,284427.0,5.15,24653,36980,49307,147920
Hisar,3.0,0.0,1.0,4.0,HISAR,553488.0,109957.0,72.18,135721.0,5.03,15873,19842,79367,39683
Ujjain,2.0,2.0,0.0,4.0,UJJAIN,779213.0,152488.0,73.1,212037.0,5.11,22294,37156,37156,111469
Durg,3.0,1.0,0.0,4.0,DURG,1284765.0,277413.0,75.75,367139.0,4.63,42028,52535,105070,210140
Tiruchirappalli,1.0,3.0,0.0,4.0,TIRUCHIRAPPALLI,1338033.0,341160.0,81.37,394654.0,3.92,55520,138801,69400,277602
Cuttack,2.0,2.0,0.0,4.0,CUTTACK,736047.0,149716.0,81.99,198738.0,4.92,24550,40917,40917,122752
Amravati,2.0,2.0,0.0,4.0,AMRAVATI,1037287.0,217169.0,82.06,233020.0,4.78,35642,59403,59403,178209
Bhagalpur,4.0,0.0,0.0,4.0,BHAGALPUR,602532.0,106303.0,64.62,104946.0,5.67,13739,13739,68693,68693
Belgaum,2.0,2.0,0.0,4.0,BELGAUM,1211195.0,264621.0,75.73,315875.0,4.58,40079,66799,66799,200397
Mathura,3.0,1.0,0.0,4.0,MATHURA,755993.0,130244.0,64.3,154169.0,5.8,16749,20937,41873,83747
Kollam,0.0,3.0,0.0,3.0,KOLLAM,1187158.0,292696.0,84.82,299479.0,4.06,62066,248265,62066,248265
Khammam,1.0,2.0,0.0,3.0,KHAMMAM,655911.0,171064.0,73.29,174299.0,3.83,31343,62686,41791,125373
Kottayam,1.0,2.0,0.0,3.0,KOTTAYAM,565393.0,140397.0,88.97,157350.0,4.03,31228,62456,41637,124911
Nanded,2.0,1.0,0.0,3.0,NANDED,913898.0,171093.0,72.23,209927.0,5.34,30895,41193,61790,123580
Gaya,3.0,0.0,0.0,3.0,GAYA,581601.0,89642.0,69.07,103750.0,6.49,15479,15479,61916,61916
Ganganagar,1.0,2.0,0.0,3.0,GANGANAGAR,535432.0,108585.0,69.47,150935.0,4.93,18858,37717,25145,75434
Dhanbad,3.0,0.0,0.0,3.0,DHANBAD,1560394.0,296040.0,68.76,335466.0,5.27,50889,50889,203557,203557
Anand,2.0,1.0,0.0,3.0,ANAND,634987.0,129947.0,78.45,153947.0,4.89,25486,33981,50972,101943
Solapur,3.0,0.0,0.0,3.0,SOLAPUR,1399091.0,279607.0,73.47,389890.0,5.0,51357,51357,205427,205427
Bikaner,2.0,1.0,0.0,3.0,BIKANER,800384.0,139973.0,67.42,205384.0,5.72,23592,31457,47185,94370
Salem,1.0,2.0,0.0,3.0,SALEM,1774122.0,463944.0,71.97,522176.0,3.82,83475,166950,111300,333900
Ahmadnagar,2.0,1.0,0.0,3.0,AHMADNAGAR,912617.0,190941.0,77.44,242987.0,4.78,36966,49288,73932,147865
Erode,1.0,2.0,0.0,3.0,ERODE,1157976.0,334569.0,72.33,377266.0,3.46,60498,120997,80665,241994
Anantapur,1.0,2.0,0.0,3.0,ANANTAPUR,1145711.0,267794.0,66.73,307544.0,4.28,44675,89349,59566,178699
Bilaspur,2.0,1.0,0.0,3.0,BILASPUR,679870.0,144187.0,73.7,187563.0,4.72,26566,35422,53133,106266
Bhavnagar,2.0,0.0,0.0,2.0,BHAVNAGAR,1182401.0,236235.0,72.51,348382.0,5.01,57098,57098,171294,171294
Davanagere,0.0,0.0,2.0,2.0,DAVANAGERE,629010.0,134755.0,74.68,166777.0,4.67,33545,100635,100635,33545
Sangli,2.0,0.0,0.0,2.0,SANGLI,719357.0,155950.0,77.07,183979.0,4.61,40064,40064,120191,120191
Bharuch,2.0,0.0,0.0,2.0,BHARUCH,524959.0,116185.0,78.64,150559.0,4.52,30456,30456,91368,91368
Sikar,2.0,0.0,0.0,2.0,SIKAR,633906.0,99656.0,64.88,138648.0,6.36,21552,21552,64657,64657
Shimoga,1.0,1.0,0.0,2.0,SHIMOGA,623727.0,147360.0,78.91,180206.0,4.23,38761,58141,58141,116282
Thanjavur,0.0,2.0,0.0,2.0,THANJAVUR,851359.0,214161.0,80.58,214555.0,3.98,57524,172571,57524,172571
Tiruppur,0.0,2.0,0.0,2.0,TIRUPPUR,1521111.0,429023.0,75.55,591556.0,3.55,108042,324127,108042,324127
Nizamabad,1.0,1.0,0.0,2.0,NIZAMABAD,588372.0,127696.0,68.36,146939.0,4.61,29098,43646,43646,87293
Latur,1.0,1.0,0.0,2.0,LATUR,624980.0,118163.0,72.93,146118.0,5.29,28725,43088,43088,86176
Tumkur,1.0,1.0,0.0,2.0,TUMKUR,599078.0,142560.0,78.28,174257.0,4.2,37199,55798,55798,111596
Valsad,1.0,0.0,1.0,2.0,VALSAD,635501.0,147455.0,78.59,212505.0,4.31,38628,57942,115885,57942
Alwar,2.0,0.0,0.0,2.0,ALWAR,654451.0,128203.0,72.5,175325.0,5.1,30982,30982,92947,92947
Unnao,1.0,0.0,0.0,1.0,UNNAO,531646.0,97427.0,65.92,95586.0,5.46,32112,32112,64224,64224
Muzaffarnagar,1.0,0.0,0.0,1.0,MUZAFFARNAGAR,1191312.0,200893.0,60.6,248323.0,5.93,60871,60871,121741,121741
Junagadh,1.0,0.0,0.0,1.0,JUNAGADH,906412.0,179624.0,73.33,233735.0,5.05,65859,65859,131718,131718
Barddhaman,1.0,0.0,0.0,1.0,BARDDHAMAN,3078299.0,659366.0,73.06,762901.0,4.67,240866,240866,481733,481733
Hugli,1.0,0.0,0.0,1.0,HUGLI,2128499.0,505943.0,79.34,636704.0,4.21,200708,200708,401415,401415
Jalgaon,1.0,0.0,0.0,1.0,JALGAON,1342711.0,279073.0,75.54,307373.0,4.81,105406,105406,210812,210812
Jamnagar,1.0,0.0,0.0,1.0,JAMNAGAR,971065.0,200638.0,70.11,273545.0,4.84,70334,70334,140667,140667
Gulbarga,1.0,0.0,0.0,1.0,GULBARGA,835551.0,158721.0,68.22,201457.0,5.26,54140,54140,108279,108279
Hardoi,1.0,0.0,0.0,1.0,HARDOI,541806.0,91815.0,62.39,87790.0,5.9,28642,28642,57283,57283
Rampur,1.0,0.0,0.0,1.0,RAMPUR,588647.0,103221.0,48.36,114975.0,5.7,24959,24959,49918,49918
Firozabad,1.0,0.0,0.0,1.0,FIROZABAD,833169.0,139369.0,60.68,169240.0,5.98,42285,42285,84569,84569
Firozpur,1.0,0.0,0.0,1.0,FIROZPUR,552556.0,109027.0,69.98,158697.0,5.07,38149,38149,76297,76297
Sangrur,1.0,0.0,0.0,1.0,SANGRUR,515965.0,101006.0,66.52,135107.0,5.11,33595,33595,67189,67189
Satara,1.0,0.0,0.0,1.0,SATARA,570378.0,125148.0,79.76,152070.0,4.56,49909,49909,99818,99818
Begusarai,1.0,0.0,0.0,1.0,BEGUSARAI,569823.0,107175.0,60.14,83464.0,5.32,32228,32228,64455,64455
Bellary,1.0,0.0,0.0,1.0,BELLARY,920239.0,193860.0,66.54,254201.0,4.75,64497,64497,128994,128994
Shahjahanpur,1.0,0.0,0.0,1.0,SHAHJAHANPUR,594092.0,102444.0,56.24,108478.0,5.8,28807,28807,57615,57615
Sitapur,1.0,0.0,0.0,1.0,SITAPUR,530784.0,87109.0,62.4,93946.0,6.09,27178,27178,54356,54356
Chandrapur,1.0,0.0,0.0,1.0,CHANDRAPUR,775378.0,180458.0,79.47,200534.0,4.3,71705,71705,143410,143410
Tirunelveli,0.0,1.0,0.0,1.0,TIRUNELVELI,1520229.0,396471.0,77.18,388540.0,3.83,152998,305996,152998,305996
Bijapur,1.0,0.0,0.0,1.0,BIJAPUR,501978.0,99055.0,70.55,115769.0,5.07,34942,34942,69883,69883
Bijnor,1.0,0.0,0.0,1.0,BIJNOR,925312.0,154200.0,58.27,176364.0,6.0,44926,44926,89852,89852
Bhilwara,1.0,0.0,0.0,1.0,BHILWARA,512654.0,104060.0,70.06,141732.0,4.93,36452,36452,72904,72904
Akola,1.0,0.0,0.0,1.0,AKOLA,719741.0,145530.0,80.85,176667.0,4.95,58831,58831,117661,117661
Yavatmal,1.0,0.0,0.0,1.0,YAVATMAL,598153.0,131384.0,81.34,145557.0,4.55,53434,53434,106868,106868
