city,Blinkit,Swiggy Instamart,Zepto,total_stores
Jhansi,4.0,2.0,0.0,6.0
Madipakkam,2.0,3.0,0.0,5.0
Palakkad,0.0,2.0,3.0,5.0
Hubli,3.0,2.0,0.0,5.0
Gwalior,2.0,3.0,0.0,5.0
Mangalore,3.0,2.0,0.0,5.0
Vellore,1.0,2.0,2.0,5.0
Visakhapatnam,2.0,3.0,0.0,5.0
Kolhapur,3.0,2.0,0.0,5.0
Jodhpur,4.0,1.0,0.0,5.0
Ajmer,3.0,2.0,0.0,5.0
Rajahmundry,3.0,2.0,0.0,5.0
Ramnagar,3.0,2.0,0.0,5.0
Puducherry,1.0,2.0,2.0,5.0
Nellore,2.0,2.0,0.0,4.0
Hisar,3.0,0.0,1.0,4.0
Haldwani,4.0,0.0,0.0,4.0
Garui,3.0,1.0,0.0,4.0
Khagaul,3.0,1.0,0.0,4.0
Alandur,3.0,1.0,0.0,4.0
Utran,2.0,2.0,0.0,4.0
Ujjain,2.0,2.0,0.0,4.0
Morar,3.0,1.0,0.0,4.0
Nelamangala,2.0,2.0,0.0,4.0
Balapur,3.0,1.0,0.0,4.0
Kakinada,2.0,2.0,0.0,4.0
Durg,3.0,1.0,0.0,4.0
Tirupati,2.0,2.0,0.0,4.0
Clement Town,3.0,1.0,0.0,4.0
Tiruchirappalli,1.0,3.0,0.0,4.0
Chinnasekkadu,2.0,2.0,0.0,4.0
Saharanpur,2.0,1.0,1.0,4.0
Cuttack,2.0,2.0,0.0,4.0
Thanesar,2.0,2.0,0.0,4.0
Amarnath,3.0,1.0,0.0,4.0
Bhimunipatnam,2.0,2.0,0.0,4.0
Amravati,2.0,2.0,0.0,4.0
Bhagalpur,4.0,0.0,0.0,4.0
Durgapur,3.0,1.0,0.0,4.0
Dasna,2.0,2.0,0.0,4.0
Belgaum,2.0,2.0,0.0,4.0
Vapi,2.0,2.0,0.0,4.0
Mapuca,2.0,2.0,0.0,4.0
Vandalur,2.0,2.0,0.0,4.0
Mathura,3.0,1.0,0.0,4.0
Alandi,1.0,2.0,0.0,3.0
Uran,2.0,1.0,0.0,3.0
Mandideep,3.0,0.0,0.0,3.0
Kichha,2.0,1.0,0.0,3.0
Kollam,0.0,3.0,0.0,3.0
Manappakkam,2.0,1.0,0.0,3.0
Khammam,1.0,2.0,0.0,3.0
Madhyamgram,2.0,1.0,0.0,3.0
Jhusi,3.0,0.0,0.0,3.0
Bambolim,1.0,2.0,0.0,3.0
Badlapur,2.0,1.0,0.0,3.0
Kanke,3.0,0.0,0.0,3.0
Kottayam,1.0,2.0,0.0,3.0
Hubballi,0.0,0.0,3.0,3.0
Bara Bazar,3.0,0.0,0.0,3.0
Nanded,2.0,1.0,0.0,3.0
Ongole,1.0,2.0,0.0,3.0
Gaya,3.0,0.0,0.0,3.0
Baranagar,2.0,1.0,0.0,3.0
Ganganagar,1.0,2.0,0.0,3.0
Baruipur,2.0,1.0,0.0,3.0
Roorkee,2.0,1.0,0.0,3.0
Rewari,2.0,0.0,1.0,3.0
Dhanbad,3.0,0.0,0.0,3.0
Dharuhera,3.0,0.0,0.0,3.0
Anand,2.0,1.0,0.0,3.0
Dehu,2.0,1.0,0.0,3.0
Daurala,2.0,1.0,0.0,3.0
Dayal Bagh,3.0,0.0,0.0,3.0
Bhatinda,2.0,1.0,0.0,3.0
Chakapara,3.0,0.0,0.0,3.0
Solapur,3.0,0.0,0.0,3.0
Bikaner,2.0,1.0,0.0,3.0
Chatrapati Sambhaji Nagar,0.0,0.0,3.0,3.0
Dadri,2.0,1.0,0.0,3.0
Salem,1.0,2.0,0.0,3.0
Ahmadnagar,2.0,1.0,0.0,3.0
Erode,1.0,2.0,0.0,3.0
Alampur,1.0,2.0,0.0,3.0
Anantapur,1.0,2.0,0.0,3.0
Bilaspur,2.0,1.0,0.0,3.0
Vizianagaram,1.0,1.0,0.0,2.0
Vrindavan,2.0,0.0,0.0,2.0
Bhiwani,2.0,0.0,0.0,2.0
Tiruvottiyur,0.0,2.0,0.0,2.0
Bhavnagar,2.0,0.0,0.0,2.0
Bhimavaram,1.0,1.0,0.0,2.0
Asansol,2.0,0.0,0.0,2.0
Akkarampalle,1.0,1.0,0.0,2.0
Ankleshwar,2.0,0.0,0.0,2.0
Arukutti,0.0,2.0,0.0,2.0
Bhuj,2.0,0.0,0.0,2.0
Chicalim,1.0,1.0,0.0,2.0
Chas,2.0,0.0,0.0,2.0
Sohna,2.0,0.0,0.0,2.0
Singanallur,1.0,1.0,0.0,2.0
Singapperumalkovil,1.0,1.0,0.0,2.0
Darbhanga,2.0,0.0,0.0,2.0
Candolim,1.0,1.0,0.0,2.0
Calangute,1.0,1.0,0.0,2.0
Brahmapur,1.0,1.0,0.0,2.0
Eluru,1.0,1.0,0.0,2.0
Farrukhnagar,1.0,1.0,0.0,2.0
Deolali,1.0,1.0,0.0,2.0
Davanagere,0.0,0.0,2.0,2.0
Devanhalli,1.0,1.0,0.0,2.0
Dibrugarh,0.0,2.0,0.0,2.0
Saint Thomas Mount,1.0,1.0,0.0,2.0
Sangli,2.0,0.0,0.0,2.0
Serula,1.0,1.0,0.0,2.0
Bharuch,2.0,0.0,0.0,2.0
Benaulim,1.0,1.0,0.0,2.0
Belgavi,0.0,0.0,2.0,2.0
Sikar,2.0,0.0,0.0,2.0
Shyamnagar,2.0,0.0,0.0,2.0
Shimoga,1.0,1.0,0.0,2.0
Thanjavur,0.0,2.0,0.0,2.0
Solim,1.0,1.0,0.0,2.0
Taleigao,1.0,1.0,0.0,2.0
Talegaon Dabhade,1.0,1.0,0.0,2.0
Tadepalle,1.0,1.0,0.0,2.0
Bishnupur,1.0,1.0,0.0,2.0
Bishnah,2.0,0.0,0.0,2.0
Tiruppur,0.0,2.0,0.0,2.0
Pinjaur,2.0,0.0,0.0,2.0
Panchkula,0.0,0.0,2.0,2.0
Phagwara,2.0,0.0,0.0,2.0
Perur,1.0,1.0,0.0,2.0
Periyanayakkanpalaiyam,1.0,1.0,0.0,2.0
Ghatkesar,2.0,0.0,0.0,2.0
Gandhidham,2.0,0.0,0.0,2.0
Gajuwaka,1.0,1.0,0.0,2.0
Harihar,1.0,1.0,0.0,2.0
Jugsalai,1.0,1.0,0.0,2.0
Kamarhati,1.0,1.0,0.0,2.0
Hoshiarpur,2.0,0.0,0.0,2.0
Barakpur,1.0,1.0,0.0,2.0
Irugur,1.0,1.0,0.0,2.0
Padra,1.0,1.0,0.0,2.0
Hajipur,2.0,0.0,0.0,2.0
Nizamabad,1.0,1.0,0.0,2.0
North Guwahati,2.0,0.0,0.0,2.0
Patancheru,1.0,1.0,0.0,2.0
Ghandinagar,2.0,0.0,0.0,2.0
Goshainganj,1.0,1.0,0.0,2.0
Mangalagiri,1.0,1.0,0.0,2.0
Lonavla,1.0,1.0,0.0,2.0
Katpadi,1.0,1.0,0.0,2.0
Manipala,1.0,1.0,0.0,2.0
Kurukshetra,0.0,0.0,2.0,2.0
Kanchrapara,1.0,1.0,0.0,2.0
Karur,0.0,2.0,0.0,2.0
Karamsad,1.0,1.0,0.0,2.0
Latur,1.0,1.0,0.0,2.0
Khardah,2.0,0.0,0.0,2.0
Vagator,1.0,1.0,0.0,2.0
Yamunanagar,2.0,0.0,0.0,2.0
Ulhasnagar,1.0,1.0,0.0,2.0
Ullal,0.0,2.0,0.0,2.0
Udipi,1.0,1.0,0.0,2.0
Tumkur,1.0,1.0,0.0,2.0
Vikasnagar,2.0,0.0,0.0,2.0
Vasco Da Gama,1.0,1.0,0.0,2.0
Valsad,1.0,0.0,1.0,2.0
Alwar,2.0,0.0,0.0,2.0
Alibag,1.0,0.0,0.0,1.0
Alleppey,0.0,1.0,0.0,1.0
Vaghodia,1.0,0.0,0.0,1.0
Tumkuru,0.0,0.0,1.0,1.0
Una,1.0,0.0,0.0,1.0
Unnao,1.0,0.0,0.0,1.0
Wardha,1.0,0.0,0.0,1.0
Kharagpur,1.0,0.0,0.0,1.0
Kizhake Chalakudi,0.0,1.0,0.0,1.0
Konnagar,1.0,0.0,0.0,1.0
Korampallam,0.0,1.0,0.0,1.0
Kotdwara,1.0,0.0,0.0,1.0
Krishnapur,1.0,0.0,0.0,1.0
Lakhimpur,1.0,0.0,0.0,1.0
Kapurthala,1.0,0.0,0.0,1.0
Karaikkudi,0.0,1.0,0.0,1.0
Kashipur,1.0,0.0,0.0,1.0
Katihar,1.0,0.0,0.0,1.0
Khamaria,1.0,0.0,0.0,1.0
Khanna,1.0,0.0,0.0,1.0
Madgaon,0.0,1.0,0.0,1.0
Madukkarai,0.0,1.0,0.0,1.0
Mainpuri,1.0,0.0,0.0,1.0
Mandya,1.0,0.0,0.0,1.0
Mavoor,0.0,1.0,0.0,1.0
Mehsana,0.0,0.0,1.0,1.0
Mirzapur,1.0,0.0,0.0,1.0
Moga,1.0,0.0,0.0,1.0
Morbi,1.0,0.0,0.0,1.0
Motihari,1.0,0.0,0.0,1.0
Muradnagar,1.0,0.0,0.0,1.0
Mussoorie,1.0,0.0,0.0,1.0
Muvattupula,0.0,1.0,0.0,1.0
Muzaffarnagar,1.0,0.0,0.0,1.0
Avanoor,0.0,1.0,0.0,1.0
Jatani,1.0,0.0,0.0,1.0
Jaunpur,1.0,0.0,0.0,1.0
Jhulasan,1.0,0.0,0.0,1.0
Jind,1.0,0.0,0.0,1.0
Jobner,1.0,0.0,0.0,1.0
Junagadh,1.0,0.0,0.0,1.0
Kaithal,1.0,0.0,0.0,1.0
Kalundri,0.0,1.0,0.0,1.0
Kanchipuram,0.0,1.0,0.0,1.0
Ayodhya,1.0,0.0,0.0,1.0
Azamgarh,1.0,0.0,0.0,1.0
Baddi,1.0,0.0,0.0,1.0
Baidyabati,1.0,0.0,0.0,1.0
Bali,1.0,0.0,0.0,1.0
Bankra,1.0,0.0,0.0,1.0
Baraut,1.0,0.0,0.0,1.0
Barddhaman,1.0,0.0,0.0,1.0
Nabha,1.0,0.0,0.0,1.0
Nadiad,1.0,0.0,0.0,1.0
Hoshangabad,1.0,0.0,0.0,1.0
Hospet,1.0,0.0,0.0,1.0
Hugli,1.0,0.0,0.0,1.0
Jalalpur,1.0,0.0,0.0,1.0
Jalgaon,1.0,0.0,0.0,1.0
Jamnagar,1.0,0.0,0.0,1.0
Jasidih,1.0,0.0,0.0,1.0
Nagercoil,0.0,1.0,0.0,1.0
Naihati,1.0,0.0,0.0,1.0
Nandambakkam,1.0,0.0,0.0,1.0
Naravarikuppam,1.0,0.0,0.0,1.0
Niwari,1.0,0.0,0.0,1.0
Palanpur,1.0,0.0,0.0,1.0
Palavakkam,0.0,1.0,0.0,1.0
Gulbarga,1.0,0.0,0.0,1.0
HAPUR,0.0,0.0,1.0,1.0
Hamirpur,1.0,0.0,0.0,1.0
Hapur,1.0,0.0,0.0,1.0
Hardoi,1.0,0.0,0.0,1.0
Hassan,1.0,0.0,0.0,1.0
Hazaribag,1.0,0.0,0.0,1.0
Ghazipur,1.0,0.0,0.0,1.0
Giridih,1.0,0.0,0.0,1.0
Goa Velha,1.0,0.0,0.0,1.0
Gokul,1.0,0.0,0.0,1.0
Gonda,1.0,0.0,0.0,1.0
Palghar,1.0,0.0,0.0,1.0
Palwal,1.0,0.0,0.0,1.0
Panaji,1.0,0.0,0.0,1.0
Pathankot,1.0,0.0,0.0,1.0
Perumpavur,0.0,1.0,0.0,1.0
Pilibhit,1.0,0.0,0.0,1.0
Ponda,1.0,0.0,0.0,1.0
Puri,1.0,0.0,0.0,1.0
Purnia,1.0,0.0,0.0,1.0
Rae Bareli,1.0,0.0,0.0,1.0
Raichur,1.0,0.0,0.0,1.0
Raiwala,1.0,0.0,0.0,1.0
Rajpura,1.0,0.0,0.0,1.0
Ramanayyapeta,1.0,0.0,0.0,1.0
Ramgarh,1.0,0.0,0.0,1.0
Rampur,1.0,0.0,0.0,1.0
Ratlam,1.0,0.0,0.0,1.0
Rewa,1.0,0.0,0.0,1.0
Doiwala,1.0,0.0,0.0,1.0
Etawah,1.0,0.0,0.0,1.0
Faizabad,1.0,0.0,0.0,1.0
Faridkot,1.0,0.0,0.0,1.0
Farrukhabad,1.0,0.0,0.0,1.0
Fatehpur,1.0,0.0,0.0,1.0
Firozabad,1.0,0.0,0.0,1.0
Firozpur,1.0,0.0,0.0,1.0
Davorlim,1.0,0.0,0.0,1.0
Deoria,1.0,0.0,0.0,1.0
Dewas,1.0,0.0,0.0,1.0
Dharmsala,1.0,0.0,0.0,1.0
Dod Ballapur,1.0,0.0,0.0,1.0
Rishikesh,1.0,0.0,0.0,1.0
Sachin,1.0,0.0,0.0,1.0
Saligao,1.0,0.0,0.0,1.0
Samastipur,1.0,0.0,0.0,1.0
Sangrur,1.0,0.0,0.0,1.0
Sasvad,1.0,0.0,0.0,1.0
Satara,1.0,0.0,0.0,1.0
Satna,1.0,0.0,0.0,1.0
Basti,1.0,0.0,0.0,1.0
Batala,1.0,0.0,0.0,1.0
Begusarai,1.0,0.0,0.0,1.0
Behror,1.0,0.0,0.0,1.0
Bellary,1.0,0.0,0.0,1.0
Bettiah,1.0,0.0,0.0,1.0
Bharatpur,1.0,0.0,0.0,1.0
Dankaur,1.0,0.0,0.0,1.0
Shahjahanpur,1.0,0.0,0.0,1.0
Shikohabad,1.0,0.0,0.0,1.0
Shirdi,1.0,0.0,0.0,1.0
Shrirampur,1.0,0.0,0.0,1.0
Silchar,0.0,1.0,0.0,1.0
Silvassa,1.0,0.0,0.0,1.0
Sirsa,1.0,0.0,0.0,1.0
Sitapur,1.0,0.0,0.0,1.0
Sodpur,1.0,0.0,0.0,1.0
Chandrapur,1.0,0.0,0.0,1.0
Changanacheri,0.0,1.0,0.0,1.0
Charkhi Dadri,1.0,0.0,0.0,1.0
Chengannur,0.0,1.0,0.0,1.0
Chikmagalur,1.0,0.0,0.0,1.0
Chitradurga,1.0,0.0,0.0,1.0
Solan,1.0,0.0,0.0,1.0
Sriramnagar,1.0,0.0,0.0,1.0
Sundarnagar,1.0,0.0,0.0,1.0
Tirunelveli,0.0,1.0,0.0,1.0
Tirupparangunram,0.0,1.0,0.0,1.0
Tiruvallur,0.0,1.0,0.0,1.0
Bihar Sharif,1.0,0.0,0.0,1.0
Bijapur,1.0,0.0,0.0,1.0
Bijnor,1.0,0.0,0.0,1.0
Birbhaddar,1.0,0.0,0.0,1.0
Bolpur,1.0,0.0,0.0,1.0
Cannanore,0.0,1.0,0.0,1.0
Chakan,1.0,0.0,0.0,1.0
Champahati,1.0,0.0,0.0,1.0
Visnagar,1.0,0.0,0.0,1.0
Bhatpara,1.0,0.0,0.0,1.0
Bhilai,1.0,0.0,0.0,1.0
Bhilwara,1.0,0.0,0.0,1.0
Bhiwadi,0.0,0.0,1.0,1.0
Bhiwandi,1.0,0.0,0.0,1.0
Bidar,1.0,0.0,0.0,1.0
Titagarh,1.0,0.0,0.0,1.0
Amloh,1.0,0.0,0.0,1.0
Amroha,1.0,0.0,0.0,1.0
Amroli,1.0,0.0,0.0,1.0
Angamali,0.0,1.0,0.0,1.0
Attingal,0.0,1.0,0.0,1.0
Akola,1.0,0.0,0.0,1.0
Yavatmal,1.0,0.0,0.0,1.0
