city,Blinkit,Swiggy Instamart,Zepto,total_stores,district_key,urban_population,households,literacy_rate,service_workers,avg_household_size,opportunity_score,blinkit_opp_score,swiggy_instamart_opp_score,zepto_opp_score
Palakkad,0.0,2.0,3.0,5.0,PALAKKAD,676810.0,154935.0,82.83,178629.0,4.37,21389,128333,42778,32083
Hubli,3.0,2.0,0.0,5.0,HUBLI,0.0,,0.0,,,0,0,0,0
Gwalior,2.0,3.0,0.0,5.0,GWALIOR,1273792.0,239351.0,73.63,320765.0,5.32,29372,58745,44059,176234
Mangalore,3.0,2.0,0.0,5.0,MANGALORE,0.0,,0.0,,,0,0,0,0
Vellore,1.0,2.0,2.0,5.0,VELLORE,1701987.0,392575.0,75.85,484116.0,4.34,49628,148884,99256,99256
Visakhapatnam,2.0,3.0,0.0,5.0,VISAKHAPATNAM,2035922.0,517625.0,73.48,573989.0,3.93,63392,126784,95088,380351
Kolhapur,3.0,2.0,0.0,5.0,KOLHAPUR,1230009.0,271721.0,79.02,363664.0,4.53,35786,53678,71571,214714
Jodhpur,4.0,1.0,0.0,5.0,JODHPUR,1264614.0,234790.0,69.05,331632.0,5.39,27020,32424,81061,162122
Ajmer,3.0,2.0,0.0,5.0,AJMER,1035410.0,201088.0,73.56,284427.0,5.15,24653,36980,49307,147920
Rajahmundry,3.0,2.0,0.0,5.0,RAJAHMUNDRY,0.0,,0.0,,,0,0,0,0
Ramnagar,3.0,2.0,0.0,5.0,RAMNAGAR,0.0,,0.0,,,0,0,0,0
Puducherry,1.0,2.0,2.0,5.0,PUDUCHERRY,657209.0,162016.0,79.56,212397.0,4.06,21483,64450,42967,42967
Nellore,2.0,2.0,0.0,4.0,NELLORE,0.0,,0.0,,,0,0,0,0
Hisar,3.0,0.0,1.0,4.0,HISAR,553488.0,109957.0,72.18,135721.0,5.03,15873,19842,79367,39683
Haldwani,4.0,0.0,0.0,4.0,HALDWANI,0.0,,0.0,,,0,0,0,0
Garui,3.0,1.0,0.0,4.0,GARUI,0.0,,0.0,,,0,0,0,0
Khagaul,3.0,1.0,0.0,4.0,KHAGAUL,0.0,,0.0,,,0,0,0,0
Alandur,3.0,1.0,0.0,4.0,ALANDUR,0.0,,0.0,,,0,0,0,0
Utran,2.0,2.0,0.0,4.0,UTRAN,0.0,,0.0,,,0,0,0,0
Ujjain,2.0,2.0,0.0,4.0,UJJAIN,779213.0,152488.0,73.1,212037.0,5.11,22294,37156,37156,111469
Morar,3.0,1.0,0.0,4.0,MORAR,0.0,,0.0,,,0,0,0,0
Nelamangala,2.0,2.0,0.0,4.0,NELAMANGALA,0.0,,0.0,,,0,0,0,0
Balapur,3.0,1.0,0.0,4.0,BALAPUR,0.0,,0.0,,,0,0,0,0
Kakinada,2.0,2.0,0.0,4.0,KAKINADA,0.0,,0.0,,,0,0,0,0
Durg,3.0,1.0,0.0,4.0,DURG,1284765.0,277413.0,75.75,367139.0,4.63,42028,52535,105070,210140
Tirupati,2.0,2.0,0.0,4.0,TIRUPATI,0.0,,0.0,,,0,0,0,0
Clement Town,3.0,1.0,0.0,4.0,CLEMENT TOWN,0.0,,0.0,,,0,0,0,0
Tiruchirappalli,1.0,3.0,0.0,4.0,TIRUCHIRAPPALLI,1338033.0,341160.0,81.37,394654.0,3.92,55520,138801,69400,277602
Chinnasekkadu,2.0,2.0,0.0,4.0,CHINNASEKKADU,0.0,,0.0,,,0,0,0,0
Saharanpur,2.0,1.0,1.0,4.0,SAHARANPUR,1066526.0,189458.0,64.42,239711.0,5.63,24410,40683,61024,61024
Cuttack,2.0,2.0,0.0,4.0,CUTTACK,736047.0,149716.0,81.99,198738.0,4.92,24550,40917,40917,122752
Thanesar,2.0,2.0,0.0,4.0,THANESAR,0.0,,0.0,,,0,0,0,0
Amarnath,3.0,1.0,0.0,4.0,AMARNATH,0.0,,0.0,,,0,0,0,0
Bhimunipatnam,2.0,2.0,0.0,4.0,BHIMUNIPATNAM,0.0,,0.0,,,0,0,0,0
Amravati,2.0,2.0,0.0,4.0,AMRAVATI,1037287.0,217169.0,82.06,233020.0,4.78,35642,59403,59403,178209
Bhagalpur,4.0,0.0,0.0,4.0,BHAGALPUR,602532.0,106303.0,64.62,104946.0,5.67,13739,13739,68693,68693
Durgapur,3.0,1.0,0.0,4.0,DURGAPUR,0.0,,0.0,,,0,0,0,0
Dasna,2.0,2.0,0.0,4.0,DASNA,0.0,,0.0,,,0,0,0,0
Belgaum,2.0,2.0,0.0,4.0,BELGAUM,1211195.0,264621.0,75.73,315875.0,4.58,40079,66799,66799,200397
Vapi,2.0,2.0,0.0,4.0,VAPI,0.0,,0.0,,,0,0,0,0
Mapuca,2.0,2.0,0.0,4.0,MAPUCA,0.0,,0.0,,,0,0,0,0
Vandalur,2.0,2.0,0.0,4.0,VANDALUR,0.0,,0.0,,,0,0,0,0
Mathura,3.0,1.0,0.0,4.0,MATHURA,755993.0,130244.0,64.3,154169.0,5.8,16749,20937,41873,83747
Alandi,1.0,2.0,0.0,3.0,ALANDI,0.0,,0.0,,,0,0,0,0
Uran,2.0,1.0,0.0,3.0,URAN,0.0,,0.0,,,0,0,0,0
Mandideep,3.0,0.0,0.0,3.0,MANDIDEEP,0.0,,0.0,,,0,0,0,0
Kichha,2.0,1.0,0.0,3.0,KICHHA,0.0,,0.0,,,0,0,0,0
Kollam,0.0,3.0,0.0,3.0,KOLLAM,1187158.0,292696.0,84.82,299479.0,4.06,62066,248265,62066,248265
Manappakkam,2.0,1.0,0.0,3.0,MANAPPAKKAM,0.0,,0.0,,,0,0,0,0
Khammam,1.0,2.0,0.0,3.0,KHAMMAM,655911.0,171064.0,73.29,174299.0,3.83,31343,62686,41791,125373
Madhyamgram,2.0,1.0,0.0,3.0,MADHYAMGRAM,0.0,,0.0,,,0,0,0,0
Jhusi,3.0,0.0,0.0,3.0,JHUSI,0.0,,0.0,,,0,0,0,0
Bambolim,1.0,2.0,0.0,3.0,BAMBOLIM,0.0,,0.0,,,0,0,0,0
Badlapur,2.0,1.0,0.0,3.0,BADLAPUR,0.0,,0.0,,,0,0,0,0
Kanke,3.0,0.0,0.0,3.0,KANKE,0.0,,0.0,,,0,0,0,0
Kottayam,1.0,2.0,0.0,3.0,KOTTAYAM,565393.0,140397.0,88.97,157350.0,4.03,31228,62456,41637,124911
Hubballi,0.0,0.0,3.0,3.0,HUBBALLI,0.0,,0.0,,,0,0,0,0
Bara Bazar,3.0,0.0,0.0,3.0,BARA BAZAR,0.0,,0.0,,,0,0,0,0
Nanded,2.0,1.0,0.0,3.0,NANDED,913898.0,171093.0,72.23,209927.0,5.34,30895,41193,61790,123580
Ongole,1.0,2.0,0.0,3.0,ONGOLE,0.0,,0.0,,,0,0,0,0
Gaya,3.0,0.0,0.0,3.0,GAYA,581601.0,89642.0,69.07,103750.0,6.49,15479,15479,61916,61916
Baranagar,2.0,1.0,0.0,3.0,BARANAGAR,0.0,,0.0,,,0,0,0,0
Ganganagar,1.0,2.0,0.0,3.0,GANGANAGAR,535432.0,108585.0,69.47,150935.0,4.93,18858,37717,25145,75434
Baruipur,2.0,1.0,0.0,3.0,BARUIPUR,0.0,,0.0,,,0,0,0,0
Roorkee,2.0,1.0,0.0,3.0,ROORKEE,0.0,,0.0,,,0,0,0,0
Rewari,2.0,0.0,1.0,3.0,REWARI,233430.0,47744.0,73.9,61479.0,4.89,8821,11761,35283,17641
Dhanbad,3.0,0.0,0.0,3.0,DHANBAD,1560394.0,296040.0,68.76,335466.0,5.27,50889,50889,203557,203557
Dharuhera,3.0,0.0,0.0,3.0,DHARUHERA,0.0,,0.0,,,0,0,0,0
Anand,2.0,1.0,0.0,3.0,ANAND,634987.0,129947.0,78.45,153947.0,4.89,25486,33981,50972,101943
Dehu,2.0,1.0,0.0,3.0,DEHU,0.0,,0.0,,,0,0,0,0
Daurala,2.0,1.0,0.0,3.0,DAURALA,0.0,,0.0,,,0,0,0,0
Dayal Bagh,3.0,0.0,0.0,3.0,DAYAL BAGH,0.0,,0.0,,,0,0,0,0
Bhatinda,2.0,1.0,0.0,3.0,BHATINDA,0.0,,0.0,,,0,0,0,0
Chakapara,3.0,0.0,0.0,3.0,CHAKAPARA,0.0,,0.0,,,0,0,0,0
Solapur,3.0,0.0,0.0,3.0,SOLAPUR,1399091.0,279607.0,73.47,389890.0,5.0,51357,51357,205427,205427
Bikaner,2.0,1.0,0.0,3.0,BIKANER,800384.0,139973.0,67.42,205384.0,5.72,23592,31457,47185,94370
Chatrapati Sambhaji Nagar,0.0,0.0,3.0,3.0,CHATRAPATI SAMBHAJI NAGAR,0.0,,0.0,,,0,0,0,0
Dadri,2.0,1.0,0.0,3.0,DADRI,0.0,,0.0,,,0,0,0,0
Salem,1.0,2.0,0.0,3.0,SALEM,1774122.0,463944.0,71.97,522176.0,3.82,83475,166950,111300,333900
Ahmadnagar,2.0,1.0,0.0,3.0,AHMADNAGAR,912617.0,190941.0,77.44,242987.0,4.78,36966,49288,73932,147865
Erode,1.0,2.0,0.0,3.0,ERODE,1157976.0,334569.0,72.33,377266.0,3.46,60498,120997,80665,241994
Alampur,1.0,2.0,0.0,3.0,ALAMPUR,0.0,,0.0,,,0,0,0,0
Anantapur,1.0,2.0,0.0,3.0,ANANTAPUR,1145711.0,267794.0,66.73,307544.0,4.28,44675,89349,59566,178699
Bilaspur,2.0,1.0,0.0,3.0,BILASPUR,25129.0,5773.0,82.79,7749.0,4.35,1195,1593,2390,4779
Bilaspur,2.0,1.0,0.0,3.0,BILASPUR,679870.0,144187.0,73.7,187563.0,4.72,26566,35422,53133,106266
Vizianagaram,1.0,1.0,0.0,2.0,VIZIANAGARAM,490911.0,123623.0,70.59,137267.0,3.97,29088,43633,43633,87265
Vrindavan,2.0,0.0,0.0,2.0,VRINDAVAN,0.0,,0.0,,,0,0,0,0
Bhiwani,2.0,0.0,0.0,2.0,BHIWANI,321322.0,63244.0,71.49,68555.0,5.08,15071,15071,45213,45213
Tiruvottiyur,0.0,2.0,0.0,2.0,TIRUVOTTIYUR,0.0,,0.0,,,0,0,0,0
Bhavnagar,2.0,0.0,0.0,2.0,BHAVNAGAR,1182401.0,236235.0,72.51,348382.0,5.01,57098,57098,171294,171294
Bhimavaram,1.0,1.0,0.0,2.0,BHIMAVARAM,0.0,,0.0,,,0,0,0,0
Asansol,2.0,0.0,0.0,2.0,ASANSOL,0.0,,0.0,,,0,0,0,0
Akkarampalle,1.0,1.0,0.0,2.0,AKKARAMPALLE,0.0,,0.0,,,0,0,0,0
Ankleshwar,2.0,0.0,0.0,2.0,ANKLESHWAR,0.0,,0.0,,,0,0,0,0
Arukutti,0.0,2.0,0.0,2.0,ARUKUTTI,0.0,,0.0,,,0,0,0,0
Bhuj,2.0,0.0,0.0,2.0,BHUJ,0.0,,0.0,,,0,0,0,0
Chicalim,1.0,1.0,0.0,2.0,CHICALIM,0.0,,0.0,,,0,0,0,0
Chas,2.0,0.0,0.0,2.0,CHAS,0.0,,0.0,,,0,0,0,0
Sohna,2.0,0.0,0.0,2.0,SOHNA,0.0,,0.0,,,0,0,0,0
Singanallur,1.0,1.0,0.0,2.0,SINGANALLUR,0.0,,0.0,,,0,0,0,0
Singapperumalkovil,1.0,1.0,0.0,2.0,SINGAPPERUMALKOVIL,0.0,,0.0,,,0,0,0,0
Darbhanga,2.0,0.0,0.0,2.0,DARBHANGA,383328.0,73912.0,64.37,68803.0,5.19,15859,15859,47577,47577
Candolim,1.0,1.0,0.0,2.0,CANDOLIM,0.0,,0.0,,,0,0,0,0
Calangute,1.0,1.0,0.0,2.0,CALANGUTE,0.0,,0.0,,,0,0,0,0
Brahmapur,1.0,1.0,0.0,2.0,BRAHMAPUR,0.0,,0.0,,,0,0,0,0
Eluru,1.0,1.0,0.0,2.0,ELURU,0.0,,0.0,,,0,0,0,0
Farrukhnagar,1.0,1.0,0.0,2.0,FARRUKHNAGAR,0.0,,0.0,,,0,0,0,0
Deolali,1.0,1.0,0.0,2.0,DEOLALI,0.0,,0.0,,,0,0,0,0
Davanagere,0.0,0.0,2.0,2.0,DAVANAGERE,629010.0,134755.0,74.68,166777.0,4.67,33545,100635,100635,33545
Devanhalli,1.0,1.0,0.0,2.0,DEVANHALLI,0.0,,0.0,,,0,0,0,0
Dibrugarh,0.0,2.0,0.0,2.0,DIBRUGARH,243730.0,54453.0,81.63,75454.0,4.48,14817,44450,14817,44450
Saint Thomas Mount,1.0,1.0,0.0,2.0,SAINT THOMAS MOUNT,0.0,,0.0,,,0,0,0,0
Sangli,2.0,0.0,0.0,2.0,SANGLI,719357.0,155950.0,77.07,183979.0,4.61,40064,40064,120191,120191
Serula,1.0,1.0,0.0,2.0,SERULA,0.0,,0.0,,,0,0,0,0
Bharuch,2.0,0.0,0.0,2.0,BHARUCH,524959.0,116185.0,78.64,150559.0,4.52,30456,30456,91368,91368
Benaulim,1.0,1.0,0.0,2.0,BENAULIM,0.0,,0.0,,,0,0,0,0
Belgavi,0.0,0.0,2.0,2.0,BELGAVI,0.0,,0.0,,,0,0,0,0
Sikar,2.0,0.0,0.0,2.0,SIKAR,633906.0,99656.0,64.88,138648.0,6.36,21552,21552,64657,64657
Shyamnagar,2.0,0.0,0.0,2.0,SHYAMNAGAR,0.0,,0.0,,,0,0,0,0
Shimoga,1.0,1.0,0.0,2.0,SHIMOGA,623727.0,147360.0,78.91,180206.0,4.23,38761,58141,58141,116282
Thanjavur,0.0,2.0,0.0,2.0,THANJAVUR,851359.0,214161.0,80.58,214555.0,3.98,57524,172571,57524,172571
Solim,1.0,1.0,0.0,2.0,SOLIM,0.0,,0.0,,,0,0,0,0
Taleigao,1.0,1.0,0.0,2.0,TALEIGAO,0.0,,0.0,,,0,0,0,0
Talegaon Dabhade,1.0,1.0,0.0,2.0,TALEGAON DABHADE,0.0,,0.0,,,0,0,0,0
Tadepalle,1.0,1.0,0.0,2.0,TADEPALLE,0.0,,0.0,,,0,0,0,0
Bishnupur,1.0,1.0,0.0,2.0,BISHNUPUR,87505.0,17343.0,69.45,16865.0,5.05,4015,6022,6022,12045
Bishnah,2.0,0.0,0.0,2.0,BISHNAH,0.0,,0.0,,,0,0,0,0
Tiruppur,0.0,2.0,0.0,2.0,TIRUPPUR,1521111.0,429023.0,75.55,591556.0,3.55,108042,324127,108042,324127
Pinjaur,2.0,0.0,0.0,2.0,PINJAUR,0.0,,0.0,,,0,0,0,0
Panchkula,0.0,0.0,2.0,2.0,PANCHKULA,313230.0,70953.0,77.22,99485.0,4.41,18263,54790,54790,18263
Phagwara,2.0,0.0,0.0,2.0,PHAGWARA,0.0,,0.0,,,0,0,0,0
Perur,1.0,1.0,0.0,2.0,PERUR,0.0,,0.0,,,0,0,0,0
Periyanayakkanpalaiyam,1.0,1.0,0.0,2.0,PERIYANAYAKKANPALAIYAM,0.0,,0.0,,,0,0,0,0
Ghatkesar,2.0,0.0,0.0,2.0,GHATKESAR,0.0,,0.0,,,0,0,0,0
Gandhidham,2.0,0.0,0.0,2.0,GANDHIDHAM,0.0,,0.0,,,0,0,0,0
Gajuwaka,1.0,1.0,0.0,2.0,GAJUWAKA,0.0,,0.0,,,0,0,0,0
Harihar,1.0,1.0,0.0,2.0,HARIHAR,0.0,,0.0,,,0,0,0,0
Jugsalai,1.0,1.0,0.0,2.0,JUGSALAI,0.0,,0.0,,,0,0,0,0
Kamarhati,1.0,1.0,0.0,2.0,KAMARHATI,0.0,,0.0,,,0,0,0,0
Hoshiarpur,2.0,0.0,0.0,2.0,HOSHIARPUR,334969.0,72163.0,78.77,92539.0,4.64,18948,18948,56843,56843
Barakpur,1.0,1.0,0.0,2.0,BARAKPUR,0.0,,0.0,,,0,0,0,0
Irugur,1.0,1.0,0.0,2.0,IRUGUR,0.0,,0.0,,,0,0,0,0
Padra,1.0,1.0,0.0,2.0,PADRA,0.0,,0.0,,,0,0,0,0
Hajipur,2.0,0.0,0.0,2.0,HAJIPUR,0.0,,0.0,,,0,0,0,0
Nizamabad,1.0,1.0,0.0,2.0,NIZAMABAD,588372.0,127696.0,68.36,146939.0,4.61,29098,43646,43646,87293
