city,Blinkit,Swiggy Instamart,Zepto,total_stores,district_key,urban_population,households,literacy_rate,service_workers,avg_household_size,opportunity_score,blinkit_opp_score,swiggy_instamart_opp_score,zepto_opp_score,blinkit_per_million,zepto_per_million
Amritsar,8.0,2.0,3.0,13.0,AMRITSAR,1334611.0,273905.0,74.58,400266.0,4.87,14591,22698,68093,51070,6.0,2.2
Rajkot,7.0,4.0,2.0,13.0,RAJKOT,2214050.0,471625.0,75.93,670294.0,4.69,25579,44763,71621,119368,3.2,0.9
Thiruvananthapuram,2.0,11.0,0.0,13.0,THIRUVANANTHAPURAM,1771596.0,446914.0,85.68,488895.0,3.96,27351,127639,31910,382916,1.1,0.0
Agra,7.0,2.0,4.0,13.0,AGRA,2024195.0,338775.0,63.21,435081.0,5.98,15296,26767,71380,42828,3.5,2.0
Vijayawada,3.0,3.0,6.0,12.0,KRISHNA,1843660.0,489371.0,73.34,513849.0,3.77,27608,89726,89726,51272,1.6,3.3
Bareilly,5.0,2.0,4.0,11.0,BAREILLY,1568409.0,275745.0,54.78,299063.0,5.69,12588,25176,50351,30211,3.2,2.6
Kota,5.0,3.0,3.0,11.0,KOTA,1176604.0,245150.0,71.56,314050.0,4.8,14619,29238,43857,43857,4.2,2.5
Jabalpur,7.0,3.0,0.0,10.0,JABALPUR,1440034.0,301662.0,77.68,394937.0,4.77,21303,29291,58583,234331,4.9,0.0
Aurangabad,7.0,3.0,0.0,10.0,AURANGABAD,1620170.0,330965.0,74.71,435943.0,4.9,22479,30908,61816,247264,4.3,0.0
Guntur,3.0,4.0,2.0,9.0,GUNTUR,1652738.0,419145.0,70.34,462678.0,3.94,29483,73707,58965,98276,1.8,1.2
Madurai,1.0,3.0,4.0,8.0,MADURAI,1846801.0,479851.0,80.43,599459.0,3.85,42883,192972,96486,77189,0.5,2.2
Aligarh,5.0,3.0,0.0,8.0,ALIGARH,1217191.0,204337.0,58.3,246270.0,5.96,13236,19855,29782,119128,4.1,0.0
Haora,5.0,1.0,0.0,6.0,HAORA,3074144.0,669902.0,76.41,814595.0,4.59,73125,85312,255936,511872,1.6,0.0
Kozhikode,1.0,5.0,0.0,6.0,KOZHIKODE,2072572.0,462007.0,85.21,492507.0,4.49,56239,196838,65613,393676,0.5,0.0
Moradabad,4.0,2.0,0.0,6.0,MORADABAD,1573623.0,273407.0,54.44,319387.0,5.76,21263,29769,49614,148843,2.5,0.0
Gwalior,2.0,3.0,0.0,5.0,GWALIOR,1273792.0,239351.0,73.63,320765.0,5.32,29372,58745,44059,176234,1.6,0.0
Vellore,1.0,2.0,2.0,5.0,VELLORE,1701987.0,392575.0,75.85,484116.0,4.34,49628,148884,99256,99256,0.6,1.2
Visakhapatnam,2.0,3.0,0.0,5.0,VISAKHAPATNAM,2035922.0,517625.0,73.48,573989.0,3.93,63392,126784,95088,380351,1.0,0.0
Kolhapur,3.0,2.0,0.0,5.0,KOLHAPUR,1230009.0,271721.0,79.02,363664.0,4.53,35786,53678,71571,214714,2.4,0.0
Jodhpur,4.0,1.0,0.0,5.0,JODHPUR,1264614.0,234790.0,69.05,331632.0,5.39,27020,32424,81061,162122,3.2,0.0
Ajmer,3.0,2.0,0.0,5.0,AJMER,1035410.0,201088.0,73.56,284427.0,5.15,24653,36980,49307,147920,2.9,0.0
Durg,3.0,1.0,0.0,4.0,DURG,1284765.0,277413.0,75.75,367139.0,4.63,42028,52535,105070,210140,2.3,0.0
Tiruchirappalli,1.0,3.0,0.0,4.0,TIRUCHIRAPPALLI,1338033.0,341160.0,81.37,394654.0,3.92,55520,138801,69400,277602,0.7,0.0
Saharanpur,2.0,1.0,1.0,4.0,SAHARANPUR,1066526.0,189458.0,64.42,239711.0,5.63,24410,40683,61024,61024,1.9,0.9
Amravati,2.0,2.0,0.0,4.0,AMRAVATI,1037287.0,217169.0,82.06,233020.0,4.78,35642,59403,59403,178209,1.9,0.0
Belgaum,2.0,2.0,0.0,4.0,BELGAUM,1211195.0,264621.0,75.73,315875.0,4.58,40079,66799,66799,200397,1.7,0.0
Kollam,0.0,3.0,0.0,3.0,KOLLAM,1187158.0,292696.0,84.82,299479.0,4.06,62066,248265,62066,248265,0.0,0.0
Dhanbad,3.0,0.0,0.0,3.0,DHANBAD,1560394.0,296040.0,68.76,335466.0,5.27,50889,50889,203557,203557,1.9,0.0
Solapur,3.0,0.0,0.0,3.0,SOLAPUR,1399091.0,279607.0,73.47,389890.0,5.0,51357,51357,205427,205427,2.1,0.0
Salem,1.0,2.0,0.0,3.0,SALEM,1774122.0,463944.0,71.97,522176.0,3.82,83475,166950,111300,333900,0.6,0.0
Erode,1.0,2.0,0.0,3.0,ERODE,1157976.0,334569.0,72.33,377266.0,3.46,60498,120997,80665,241994,0.9,0.0
Anantapur,1.0,2.0,0.0,3.0,ANANTAPUR,1145711.0,267794.0,66.73,307544.0,4.28,44675,89349,59566,178699,0.9,0.0
Bhavnagar,2.0,0.0,0.0,2.0,BHAVNAGAR,1182401.0,236235.0,72.51,348382.0,5.01,57098,57098,171294,171294,1.7,0.0
Tiruppur,0.0,2.0,0.0,2.0,TIRUPPUR,1521111.0,429023.0,75.55,591556.0,3.55,108042,324127,108042,324127,0.0,0.0
Muzaffarnagar,1.0,0.0,0.0,1.0,MUZAFFARNAGAR,1191312.0,200893.0,60.6,248323.0,5.93,60871,60871,121741,121741,0.8,0.0
Barddhaman,1.0,0.0,0.0,1.0,BARDDHAMAN,3078299.0,659366.0,73.06,762901.0,4.67,240866,240866,481733,481733,0.3,0.0
Hugli,1.0,0.0,0.0,1.0,HUGLI,2128499.0,505943.0,79.34,636704.0,4.21,200708,200708,401415,401415,0.5,0.0
Jalgaon,1.0,0.0,0.0,1.0,JALGAON,1342711.0,279073.0,75.54,307373.0,4.81,105406,105406,210812,210812,0.7,0.0
Tirunelveli,0.0,1.0,0.0,1.0,TIRUNELVELI,1520229.0,396471.0,77.18,388540.0,3.83,152998,305996,152998,305996,0.0,0.0
